Vivado Simulator 2019.1
Time resolution is 1 ps
Time =                    0 | reset = 1 | sensor = 0000 | AF = x | BF = x | LED = 0 | SF = x | anodes = xxxx | cathodes = xxxxxxx
Time =                10000 | reset = 1 | sensor = 0000 | AF = x | BF = x | LED = 0 | SF = x | anodes = 1111 | cathodes = xxxxxxx
Time =                20000 | reset = 0 | sensor = 0000 | AF = x | BF = x | LED = 0 | SF = x | anodes = 1111 | cathodes = xxxxxxx
Time =                30000 | reset = 0 | sensor = 0000 | AF = x | BF = x | LED = 0 | SF = x | anodes = 1110 | cathodes = 1111111
Time =           2000030000 | reset = 0 | sensor = 0000 | AF = x | BF = x | LED = 0 | SF = x | anodes = 1101 | cathodes = 1111111
Time =           4000030000 | reset = 0 | sensor = 0000 | AF = x | BF = x | LED = 0 | SF = x | anodes = 1011 | cathodes = 1111111
Time =           5000010000 | reset = 0 | sensor = 0000 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1011 | cathodes = 1111111
Time =           5000030000 | reset = 0 | sensor = 0000 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1011 | cathodes = 1001111
Time =           6000030000 | reset = 0 | sensor = 0000 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1111 | cathodes = 1001111
Time =           6000050000 | reset = 0 | sensor = 0000 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1110 | cathodes = 1110001
Time =           8000030000 | reset = 0 | sensor = 0000 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1101 | cathodes = 1000010
Time =          10000020000 | reset = 0 | sensor = 0001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1101 | cathodes = 1000010
Time =          10000030000 | reset = 0 | sensor = 0001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1011 | cathodes = 1001111
Time =          12000030000 | reset = 0 | sensor = 0001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1111 | cathodes = 1001111
Time =          12000050000 | reset = 0 | sensor = 0001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1110 | cathodes = 1110001
Time =          14000030000 | reset = 0 | sensor = 0001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1101 | cathodes = 1000010
Time =          16000030000 | reset = 0 | sensor = 0001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1011 | cathodes = 1001111
Time =          18000030000 | reset = 0 | sensor = 0001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1111 | cathodes = 1001111
Time =          18000050000 | reset = 0 | sensor = 0001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1110 | cathodes = 1110001
Time =          20000030000 | reset = 0 | sensor = 0001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1101 | cathodes = 1000010
Time =          22000030000 | reset = 0 | sensor = 0001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1011 | cathodes = 1001111
Time =          24000030000 | reset = 0 | sensor = 0001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1111 | cathodes = 1001111
Time =          24000050000 | reset = 0 | sensor = 0001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1110 | cathodes = 1110001
Time =          25000010000 | reset = 0 | sensor = 0001 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1110 | cathodes = 1110001
Time =          25000030000 | reset = 0 | sensor = 0001 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1110 | cathodes = 1110000
Time =          26000030000 | reset = 0 | sensor = 0001 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1101 | cathodes = 0110000
Time =          28000030000 | reset = 0 | sensor = 0001 | AF = 1 | BF = 1 | LED = 0 | SF = 1 | anodes = 1011 | cathodes = 1000010
